sgRNA,Gene,Endura,Addgene
sg_34467,OR4D6,590.3885752727921,465.3114839796843
sg_57836,XX-CR54.3,240.93429210120686,315.6025717427424
sg_42449,SDK1,338.5027244397121,422.8265223989305
sg_33710,OR10W1,355.4278606616977,339.87969264603026
sg_58813,OR4L1,106.52879857367411,178.03221995744443
sg_11734,CYB561D2,216.54218401658056,165.89365950580049
sg_32828,NRP2,166.2645734747998,129.47797815086867
sg_28645,MARK3,312.1194238583816,372.24918718374744
sg_8878,CHRNB2,502.77610541780774,497.68097851740146
sg_26838,LMBR1L,295.19428763639604,311.5563849255277
sg_11652,CXCR3,187.17209469019377,186.12459359187372
sg_22561,IFITM5,123.95173291983576,107.22395065618811
sg_7371,CD300E,121.46274229895553,198.26315404351763
sg_29651,MIEF1,172.23815096491234,149.7089122369419
sg_13240,DNAJC25,234.9607146110943,256.93286289313
sg_55097,TRIB2,277.77135329023434,246.8173958500934
sg_1550,AGPAT2,324.5643769627828,275.1407035705959
sg_44071,SLC16A11,220.02677088581288,216.47099472098355
